p,acc
1.77775,0.43053
1.77861,0.42949
1.77947,0.42855
1.78033,0.43279
1.78119,0.43125
1.78205,0.42997
1.78291,0.429
1.78376,0.42724
1.78462,0.42835
1.78548,0.4315
1.78634,0.43067
1.7872,0.42748
1.78806,0.42886
1.78892,0.42708
1.78977,0.42653
1.79063,0.42913
1.79149,0.42736
1.79235,0.42626
1.79321,0.42592
1.79407,0.42743
1.79493,0.42717
1.79578,0.42683
1.79664,0.42764
1.7975,0.42688
1.79836,0.42612
1.79922,0.42679
1.80008,0.4271
1.80094,0.42702
1.80179,0.42738
1.80265,0.42729
1.80351,0.42427
1.80437,0.42631
1.80523,0.42295
1.80609,0.42497
1.80695,0.42609
1.8078,0.42565
1.80866,0.42241
1.80952,0.42528
1.81038,0.4246
1.81124,0.42198
1.8121,0.42866
1.81296,0.42407
1.81381,0.4243
1.81467,0.42444
1.81553,0.4243
1.81639,0.42251
1.81725,0.42232
1.81811,0.42274
1.81897,0.42644
1.81982,0.42275
1.82068,0.42506
1.82154,0.42552
1.8224,0.42534
1.82326,0.42596
1.82412,0.422
1.82498,0.42341
1.82583,0.42218
1.82669,0.4196
1.82755,0.42383
1.82841,0.41945
1.82927,0.42094
1.83013,0.42143
1.83099,0.42122
1.83184,0.42228
1.8327,0.42352
1.83356,0.41895
1.83442,0.42042
1.83528,0.42082
1.83614,0.41957
1.837,0.42012
1.83785,0.41878
1.83871,0.42095
1.83957,0.41988
1.84043,0.41936
1.84129,0.41681
1.84215,0.42058
1.84301,0.42029
1.84386,0.41535
1.84472,0.41862
1.84558,0.41643
1.84644,0.41997
1.8473,0.41848
1.84816,0.41796
1.84902,0.42109
1.84987,0.42044
1.85073,0.4175
1.85159,0.41737
1.85245,0.41832
1.85331,0.41698
1.85417,0.41717
1.85503,0.41536
1.85589,0.41795
1.85674,0.41695
1.8576,0.41515
1.85846,0.41641
1.85932,0.41553
1.86018,0.41721
1.86104,0.41522
1.8619,0.41738
1.86275,0.41748
1.86361,0.41594
1.86447,0.41559
1.86533,0.41497
1.86619,0.4138
1.86705,0.41394
1.86791,0.41811
1.86876,0.41463
1.86962,0.41155
1.87048,0.41565
1.87134,0.41209
1.8722,0.41491
1.87306,0.4155
1.87392,0.41242
1.87477,0.41344
1.87563,0.41531
1.87649,0.41453
1.87735,0.4162
1.87821,0.41421
1.87907,0.41238
1.87993,0.41091
1.88078,0.41214
1.88164,0.41475
1.8825,0.4126
1.88336,0.41325
1.88422,0.41278
1.88508,0.41403
1.88594,0.41288
1.88679,0.41217
1.88765,0.40898
1.88851,0.41117
1.88937,0.41315
1.89023,0.40845
1.89109,0.40868
1.89195,0.41087
1.8928,0.41031
1.89366,0.4126
1.89452,0.41134
1.89538,0.41079
1.89624,0.41124
1.8971,0.40817
1.89796,0.40557
1.89881,0.40787
1.89967,0.4076
1.90053,0.41172
1.90139,0.40855
1.90225,0.41005
1.90311,0.40634
1.90397,0.40787
1.90482,0.40804
1.90568,0.40599
1.90654,0.41
1.9074,0.40793
1.90826,0.40745
