time,X,Y
10.560846,98,602
10.560903,99,601
10.561016,100,601
10.561709,99,602
10.562146,100,601
10.562938,101,600
10.563274,102,599
10.563411,103,598
10.563649,104,597
10.563705,105,596
10.565850,106,595
10.566167,107,595
10.567012,106,596
10.568263,107,595
10.568317,108,594
10.568532,107,594
10.568858,108,593
10.570722,109,592
10.571490,108,593
10.573003,109,593
10.573573,110,593
10.574008,111,593
10.574658,112,592
10.574762,111,593
10.574821,110,594
10.574852,109,595
10.577324,110,594
10.577660,111,593
10.578070,112,592
10.578145,113,592
10.578784,114,591
10.578908,115,591
10.579168,114,592
10.579905,115,591
10.580249,116,590
10.580456,117,589
10.580665,116,590
10.580815,117,590
10.581227,116,590
10.581761,117,589
10.582007,118,588
10.582309,119,587
10.582634,118,588
10.583394,117,589
10.583498,116,589
10.583610,117,588
10.583951,116,589
10.584947,115,590
10.585253,116,590
10.585917,117,590
10.586023,118,589
10.586594,119,588
10.586988,120,587
10.587473,119,588
10.588579,120,587
10.588597,121,586
10.588867,122,585
10.590133,123,585
10.590401,124,584
10.591949,125,583
10.592401,126,582
10.592711,127,582
10.592962,128,582
10.593430,127,583
10.593931,128,582
10.594923,127,582
10.595216,126,583
10.596289,127,583
10.597557,128,582
10.597918,129,582
10.598215,128,583
10.598779,129,582
10.601088,128,583
10.601591,127,584
10.601783,128,583
10.602490,129,582
10.602951,128,582
10.603083,129,581
10.603450,130,580
10.603455,131,579
10.604906,130,580
10.605283,131,579
10.605320,132,578
10.606861,133,577
10.607089,134,576
10.607386,135,575
10.608528,134,576
10.609822,135,575
10.610251,134,576
10.610285,135,576
10.610407,134,577
10.611142,133,578
10.611292,134,578
10.611301,135,577
10.611381,136,576
10.611441,137,575
10.611800,138,574
10.611800,139,574
10.612208,140,574
10.613289,139,575
10.613365,138,576
10.614079,139,575
10.614102,140,575
10.615006,141,575
10.615007,142,574
10.615517,143,573
10.616512,144,572
10.617239,145,571
10.617330,146,570
10.617527,145,571
10.617549,144,572
10.618208,145,571
10.618735,146,570
10.619581,147,569
10.619722,146,570
10.619839,145,571
10.619951,146,570
10.620909,147,569
10.620923,148,568
10.620964,149,567
10.621245,148,568
10.621406,149,568
10.622658,148,569
10.622786,149,568
10.622827,150,568
10.623163,149,569
10.623699,148,570
10.623901,147,571
10.625269,146,572
10.625287,147,572
10.625292,146,572
10.625446,147,571
10.625449,146,572
10.625600,147,572
10.625625,148,572
10.625756,149,572
10.625907,150,571
10.627215,151,570
10.627537,150,571
10.627775,151,570
10.628510,152,569
10.628698,153,568
10.629810,154,567
10.629915,155,566
10.630667,154,567
10.631370,155,566
10.631570,156,565
10.631898,157,564
10.632429,158,563
10.632991,159,562
10.633030,158,563
10.633119,157,564
10.633369,158,563
10.633963,159,562
10.634356,158,563
10.634480,159,562
10.636584,160,561
10.636751,159,561
10.636926,158,562
10.637923,159,561
10.637938,160,560
10.638632,161,560
10.639633,162,559
10.640581,161,559
10.640612,162,559
10.640667,163,558
10.640805,164,557
10.641535,163,558
10.642218,162,558
10.642250,161,559
10.642860,162,558
10.643303,163,557
10.643676,164,556
10.644071,165,555
10.644157,166,554
10.644205,167,553
10.644362,166,554
10.644554,167,553
10.644598,166,554
10.644717,165,555
10.644895,164,555
10.645592,163,556
10.645645,164,555
10.645719,165,554
10.645810,166,553
10.646140,167,552
10.646634,168,551
10.646916,167,552
10.647402,168,551
10.647850,169,550
10.648162,170,549
10.648821,171,548
10.648981,172,547
10.649299,173,547
10.649334,172,547
10.649836,173,546
10.651694,174,545
10.651985,173,546
10.652218,174,545
10.653124,173,546
10.653800,174,545
10.654708,175,544
10.655408,174,545
10.656438,173,546
10.656555,174,546
10.657077,175,546
10.657336,176,545
10.658458,175,546
10.658505,176,545
10.658542,177,545
10.658698,176,546
10.659867,175,547
10.659887,174,548
10.660385,173,549
10.660616,174,548
10.660901,175,547
10.661534,176,546
10.661565,177,545
10.661757,176,546
10.662534,177,545
10.662581,178,544
10.662697,179,543
10.662859,180,542
10.662994,179,543
10.663845,180,542
10.664311,181,541
10.664525,180,542
10.665545,181,541
10.665694,180,542
10.665757,181,541
10.666150,182,540
10.666826,183,539
10.667639,182,540
10.667898,183,539
10.667899,184,538
10.667975,185,537
10.668708,186,536
10.669015,187,535
10.669523,188,534
10.669730,189,534
10.669856,190,533
10.669986,189,534
10.670376,190,533
10.671001,191,532
10.671709,192,531
10.671884,191,532
10.672197,190,533
10.672366,189,534
10.673366,190,533
10.673435,191,532
10.673681,192,531
10.674653,193,530
10.675373,192,531
10.675750,193,530
10.676629,192,531
10.676716,191,532
10.677134,192,531
10.677282,193,530
10.677517,194,529
10.677555,193,529
10.677674,194,528
10.678166,195,527
10.678647,194,528
10.679259,195,527
10.679534,196,526
10.679686,195,527
10.680086,196,526
10.680455,197,525
10.680488,196,526
10.681061,197,525
10.681067,198,524
10.681862,199,523
10.682752,200,522
10.683151,199,522
10.683227,200,521
10.683284,201,520
10.683732,202,519
10.684477,203,518
10.684489,202,519
10.684727,203,519
10.684976,202,520
10.685186,203,519
10.685453,204,518
10.686091,205,517
10.686160,206,516
10.686435,205,517
10.686512,204,518
10.686638,203,519
10.687256,202,520
10.687857,201,521
10.689730,200,522
10.689740,201,521
10.690093,202,521
10.690139,203,520
10.690221,202,521
10.690232,203,520
10.690249,202,521
10.690421,203,520
10.690730,202,521
10.690802,203,520
10.690953,202,521
10.691064,203,520
10.691244,202,521
10.691576,203,520
10.691770,202,521
10.691773,201,522
10.691849,202,521
10.692296,203,520
10.692713,202,520
10.693283,203,519
10.693731,204,518
10.693878,205,517
10.693970,206,516
10.694424,207,515
10.694823,208,514
10.695588,209,513
10.695874,208,514
10.696178,207,515
10.696490,208,514
10.696644,209,513
10.696832,210,512
10.696878,211,511
10.697248,212,511
10.697325,213,510
10.697536,214,509
10.698104,215,508
10.698196,214,509
10.698461,213,510
10.698625,212,511
10.698800,213,510
10.698874,214,509
10.698892,213,509
10.699061,214,508
10.699142,215,507
10.699411,216,506
10.699879,217,505
10.700040,216,506
10.700139,215,506
10.700330,216,505
10.701167,215,506
10.701585,216,505
10.702010,215,506
10.702217,216,505
10.702227,217,504
10.702589,218,503
10.702808,217,504
10.702928,218,503
10.703409,219,502
10.703424,220,501
10.703512,221,500
10.703590,222,499
10.703842,223,498
10.703959,224,497
10.704728,223,498
10.704886,224,497
10.705027,223,498
10.705307,222,498
10.705432,223,497
10.705489,224,496
10.705520,225,495
10.705554,224,496
10.705786,223,497
10.705979,224,496
10.706273,225,495
10.706553,226,494
10.706615,225,495
10.706898,226,495
10.706919,225,496
10.707029,226,495
10.707031,225,496
10.707161,226,495
10.707436,227,494
10.707647,228,493
10.707852,229,492
10.707985,230,492
10.707999,231,491
10.708015,230,492
10.708424,231,491
10.708631,232,490
10.708790,233,489
10.708847,234,488
