19100,0.0142408,0.0163351,0.0102618,0.0236649,0.0148691,0.0052356,0.00251309,0.00732984,0.0213613,0.00670157
19200,0.0272917,0.000208333,0.00770833,0.00479167,0.0104167,0.0164583,0.005625,0.00270833,0.0110417,0.0133333
19300,0.013886,0.0180311,0.00849741,0.00766839,0,0.00476684,0.0105699,0.00766839,0,0.0080829
19400,0.00536082,0.00515464,0.0123711,0.00680412,0.0156701,0.0243299,0.00824742,0.017732,0.0265979,0.00494845
19500,0.00348718,0.0219487,0.00102564,0.00533333,0.0137436,0.00984615,0.0118974,0.0104615,0.0065641,0.00533333
19600,0.0110204,0.0165306,0.0308163,0.0134694,0.0022449,0.0187755,0.00326531,0.0238776,0.0102041,0.03
19700,0.0156345,0.0127919,0.00609137,0.0233503,0.00974619,0.00609137,0.0101523,0.0115736,0.0127919,0.00507614
19800,0.00808081,0.00949495,0.0234343,0.00727273,0.02,0.0119192,0.00121212,0.0157576,0.0161616,0.00787879
19900,0.00723618,0.00964824,0.0186935,0.0160804,0.0172864,0.0080402,0.00683417,0.00301508,0.00140704,0.0156784
20000,0.001,0.0126,0.0074,0.0126,0.0112,0.0058,0.0094,0.0096,0.0014,0.0018
20100,0.00159204,0.000995025,0.00835821,0.00676617,0.00457711,0.00636816,0.00636816,0.00736318,0.0103483,0.0149254
20200,0.0219802,0.00594059,0.010099,0.0245545,0.0130693,0.0144554,0.00930693,0.0128713,0.0225743,0.00138614
20300,0.0116256,0.00453202,0.0191133,0.0114286,0.0122167,0.00630542,0.0258128,0.0017734,0.0197044,0.00275862
20400,0.01,0.00980392,0.00588235,0.00882353,0.00313725,0.00588235,0.02,0.0109804,0.0182353,0.0105882
20500,0.0044878,0.0193171,0.00429268,0.00370732,0.00585366,0.0214634,0.0181463,0.0115122,0.000390244,0.00878049
20600,0.0207767,0.00271845,0.00524272,0.000194175,0.00970874,0.000970874,0.00834951,0.00543689,0.00718447,0.012233
20700,0.00695652,0.00637681,0.00676329,0.0115942,0.017971,0.0137198,0.00657005,0.0218357,0.0123671,0.021256
20800,0.00788462,0.000961538,0.01,0.0194231,0.0103846,0.00576923,0.00980769,0.00576923,0.0148077,0.0186538
20900,0.0283254,0.00114833,0.00478469,0.00421053,0.0135885,0.00210526,0.00267943,0.0191388,0.0220096,0.0176077
21000,0.00571429,0.00590476,0.00819048,0.00761905,0.0165714,0.004,0.011619,0.00495238,0.00780952,0.0102857
21100,0.000189573,0.00701422,0.0272986,0.0221801,0.0127014,0.00625592,0.0166825,0.00398104,0.00701422,0.0191469
21200,0.0158491,0.0054717,0.0286792,0.0118868,0.0118868,0.00622642,0.0137736,0.00471698,0.00886792,0.0115094
21300,0.00619718,0.0120188,0.00751174,0.0176526,0.0206573,0.0103286,0.00976526,0.0138967,0.0110798,0.00525822
21400,0.00878505,0.00205607,0.00186916,0.00317757,0.00691589,0.00542056,0.011215,0.00785047,0.00728972,0.0046729
21500,0.00427907,0.00390698,0.0193488,0.0052093,0.0124651,0.00744186,0.0024186,0.0102326,0.00409302,0.00688372
21600,0.0012963,0.0137037,0.0222222,0.0116667,0.0111111,0.00296296,0.00425926,0.0164815,0.005,0.00277778
21700,0.00368664,0.0119816,0.0116129,0.0171429,0.00184332,0.00571429,0.0160369,0,0.0276498,0.00829493
21800,0.00293578,0.00825688,0.00275229,0.00678899,0.0231193,0.00256881,0.013578,0.0273394,0.00642202,0.0110092
21900,0.0111416,0.0189954,0.0105936,0.0107763,0.0173516,0.00237443,0.0186301,0.0124201,0.00639269,0.00383562
22000,0.00418182,0.0150909,0.00981818,0.00290909,0.00509091,0.00854545,0.00345455,0.00218182,0.0110909,0.00781818
22100,0.00361991,0.0211765,0.0079638,0.00615385,0.0124887,0.00289593,0.00687783,0.0079638,0.0153846,0.00470588
22200,0.00162162,0.0192793,0.0136937,0.0171171,0.00864865,0.0018018,0.00846847,0.00756757,0.000540541,0.0154955
22300,0.0114798,0.00807175,0.00394619,0.00609865,0.00394619,0.00843049,0.0208072,0.00179372,0.0044843,0.00484305
22400,0.000535714,0.00571429,0.00357143,0.0121429,0.0123214,0.0116071,0.00339286,0.000535714,0.01125,0.00339286
22500,0.00533333,0.00906667,0.0243556,0.00515556,0.00764444,0.0120889,0.0126222,0.0423111,0.0307556,0.0128
