side,temp,obs,variable,value
45,1.7,energy,mean,-1.93270010724529
45,1.7,magnet,mean,0.970065934405786
45,1.8,energy,mean,-1.86615870308018
45,1.8,magnet,mean,0.956826795361018
45,1.9,energy,mean,-1.78383850754458
45,1.9,magnet,mean,0.938333035041776
45,2,energy,mean,-1.74858511435341
45,2,magnet,mean,0.911294294051627
45,2.1,energy,mean,-1.57517724404539
45,2.1,magnet,mean,0.868751184935778
45,2.2,energy,mean,-1.52662683526624
45,2.2,magnet,mean,0.78437310587355
45,2.3,energy,mean,-1.33512815463275
45,2.3,magnet,mean,0.507139739119591
45,2.4,energy,mean,-1.22755519840379
45,2.4,magnet,mean,0.226487355530615
45,2.5,energy,mean,-1.10033894500561
45,2.5,magnet,mean,0.142074373363262
45,2.6,energy,mean,-0.981771963586482
45,2.6,magnet,mean,0.106549507918693
45,2.7,energy,mean,-0.964637366255144
45,2.7,magnet,mean,0.0874418186806335
45,2.8,energy,mean,-0.866625442573887
45,2.8,magnet,mean,0.075291401920439
45,2.9,energy,mean,-0.915177172215987
45,2.9,magnet,mean,0.0667494211248285
45,3,energy,mean,-0.756995252275845
45,3,magnet,mean,0.0603790826786382
45,3.1,energy,mean,-0.798186650704577
45,3.1,magnet,mean,0.0556024581618656
45,3.2,energy,mean,-0.708748895373488
45,3.2,magnet,mean,0.0517996308766679
45,3.3,energy,mean,-0.767372805586732
45,3.3,magnet,mean,0.0486791959097144
45,3.4,energy,mean,-0.730437778276593
45,3.4,magnet,mean,0.0460638403790996
45,3.5,energy,mean,-0.642337476493328
45,3.5,magnet,mean,0.0438930899114603
45,3.6,energy,mean,-0.706402328469884
45,3.6,magnet,mean,0.0420816011971568
45,3.7,energy,mean,-0.587684457413643
45,3.7,magnet,mean,0.0404802164858461
45,3.8,energy,mean,-0.589128791121087
45,3.8,magnet,mean,0.0390550951490211
45,3.9,energy,mean,-0.516751140042399
45,3.9,magnet,mean,0.0378185928420003
45,4,energy,mean,-0.60859419478738
45,4,magnet,mean,0.0367425933408156
45,4.1,energy,mean,-0.538652759695723
45,4.1,magnet,mean,0.0357151006359895
45,4.2,energy,mean,-0.525135684748722
45,4.2,magnet,mean,0.0347752088789126
64,0.2,energy,mean,-2.005859375
64,0.2,magnet,mean,1
64,0.3,energy,mean,-2.0341796875
64,0.3,magnet,mean,1
64,0.4,energy,mean,-2.00585935921717
64,0.4,magnet,mean,0.999999996054293
64,0.5,energy,mean,-1.99023350102588
64,0.5,magnet,mean,0.999999781506471
64,0.6,energy,mean,-1.97850282512626
64,0.6,magnet,mean,0.999996795099432
64,0.7,energy,mean,-2.0116308041351
64,0.7,magnet,mean,0.999977943004261
64,0.8,energy,mean,-2.02062646583018
64,0.8,magnet,mean,0.999906945430871
64,0.9,energy,mean,-2.00031913766572
64,0.9,magnet,mean,0.99971002801452
64,1,energy,mean,-2.01375982776989
64,1,magnet,mean,0.999275335385101
64,1.1,energy,mean,-1.99153463541667
64,1.1,magnet,mean,0.998448264875316
64,1.2,energy,mean,-1.98957343848643
64,1.2,magnet,mean,0.997025676195549
64,1.3,energy,mean,-1.98709907177241
64,1.3,magnet,mean,0.994772516177399
64,1.4,energy,mean,-1.99934778547191
64,1.4,magnet,mean,0.991390076053504
64,1.5,energy,mean,-1.9936132516572
64,1.5,magnet,mean,0.986504386146622
64,1.6,energy,mean,-1.92773519866635
64,1.6,magnet,mean,0.979617120916193
64,1.7,energy,mean,-1.93477734868213
64,1.7,magnet,mean,0.970074296184501
64,1.8,energy,mean,-1.86761593473801
64,1.8,magnet,mean,0.956857482540246
64,1.9,energy,mean,-1.78603110696812
64,1.9,magnet,mean,0.938283789555713
64,2,energy,mean,-1.7401515220565
64,2,magnet,mean,0.911311848958333
64,2.1,energy,mean,-1.65536758207071
64,2.1,magnet,mean,0.868901515151515
64,2.2,energy,mean,-1.5695730320786
64,2.2,magnet,mean,0.785257616201073
